"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773959505250046043","Sun Mar 31 22:58:42 +0000 2024","0","@SotoAyam1970 @siihboyy @gibran_tweet alasan pildun batal itu karena FIFA tidak memberikan izin mbak! Terima kenyataan dong. Bukan negara kita yang memutuskan hal ini. Sekalipun ada permenlu kalo FIFA kasih izin ya tetep jalan kemaren‍‍","1774572056140800323","","SotoAyam1970","in","","0","1","0","https://x.com/LyliDeer183/status/1774572056140800323","1460190656182194177","LyliDeer183"
"1774439726801723761","Sun Mar 31 22:50:35 +0000 2024","0","@DedynurPalakka @gibran_tweet awokwokwok milenial ipk rendah? mending ga usah kuliah langsung aja jadi wapres mumpung bapak masih presiden","1774570012264763550","","DedynurPalakka","in","","0","0","0","https://x.com/yoghafoto/status/1774570012264763550","284283807","yoghafoto"
"1758505450075779524","Sun Mar 31 22:50:25 +0000 2024","0","@Naurafayruzya @gibran_tweet Anak jkw Khan tolol semua..kmu baru tau?","1774569968522469755","","NouraFayruz","in","","0","0","0","https://x.com/alexandreanov/status/1774569968522469755","1135086952720420864","alexandreanov"
"1774439726801723761","Sun Mar 31 22:50:04 +0000 2024","0","@Bambangmulyonoo @DedynurPalakka @gibran_tweet tahu aja mul","1774569883273170967","","Bambangmulyonoo","et","","0","0","0","https://x.com/Febri90380555/status/1774569883273170967","1289050030741970944","Febri90380555"
"1758505450075779524","Sun Mar 31 22:49:23 +0000 2024","0","@gibran_tweet Bocah songong....wakakak...Sekelas partai PDIP pun kena tipu... Megawati..Hasto..ditipu","1774569708488130711","","gibran_tweet","in","","0","0","0","https://x.com/alexandreanov/status/1774569708488130711","1135086952720420864","alexandreanov"
"1774085262131572972","Sun Mar 31 22:49:11 +0000 2024","0","@yosephrosario_ @Ndons_Back @Royan_02 @JordanMihaf @bengkeldodo @EL_Mascotte @BabyMcPepes @MakeItAQuoteJP @MakeItAQuoteKR @colorize_bot @icikiwir_08 Logika jangan dibolak balik seenak jidatmu. Kalau o2 gak maksa masang gibran jadi bacawapres dan bokap nya gibran gak cawe-cawe dgn melibatkan asn sipil dan nom sipil utk mendukung o2 juga kpu plus bawaslu gak di obrak abrik...maka saat pemilu berlangsung jurdil semua lgowo.","1774569660652077391","","yossrsro","in","Indonesia","0","2","0","https://x.com/iso_tenanan/status/1774569660652077391","1604410409653440513","iso_tenanan"
"1774569659129618535","Sun Mar 31 22:49:11 +0000 2024","1","semoga Bang @fadlizon dapat dicalonkan @prabowo sebagai Mensesneg atau Menlu RI !!","1774569659129618535","","","in","Indonesia","0","1","1","https://x.com/insanisyah1/status/1774569659129618535","1461644341139496965","insanisyah1"
"1774569613193556349","Sun Mar 31 22:49:00 +0000 2024","0","Nyebokin cawapres Gibran Nyebokin ayat-ayat ️Saking banyaknya kontradiksi masi aja dipercaya https://t.co/2fzNBvr2TI","1774569613193556349","https://pbs.twimg.com/media/GKCJlt1acAAfQUv.jpg","","in","","0","0","0","https://x.com/dejnse/status/1774569613193556349","770952766164348928","dejnse"
"1774286952961097806","Sun Mar 31 22:48:25 +0000 2024","0","@MTaufiq_NTB @aniesbaswedan @cakimiNOW Yg harus dipikirkan kedepannya adlh bagaimana caranya Gibran sebagai wapres termuda ( 36 thn) diakui secara konstitusional krn keputusan MKMK menyalahkan etika MK dlm proses pe keputusan dn DKPP menyalahkan KPU menerima pencalonan Gibran kan MKMK dn DKPP lembaga resmi negara.","1774569468905320592","","MTaufiq_NTB","in","","0","0","0","https://x.com/UsmanAbdS2/status/1774569468905320592","1624187953781280768","UsmanAbdS2"
"1774569104474849692","Sun Mar 31 22:46:59 +0000 2024","1","Seorang pembohong selamanya akan menjadi pembohong. Dan seorang pembohong akan sangat berbahaya kalau terpilih jadi pemimpin negeri ini ! Alhamdulillah rakyat bangsa ini dah sangat cerdas sehingga mereka memilih @prabowo - @gibran_tweet sbg pemimpin negeri ini !","1774569104474849692","","","in","Bumiayu, Indonesia","0","0","0","https://x.com/sukardiyahya162/status/1774569104474849692","1539724674749579265","sukardiyahya162"
"1774569037944819839","Sun Mar 31 22:46:43 +0000 2024","4","Cam tu jer Pas campak Umno dalam lubang najis...patutla tinggal 30++ kerusi jer.","1774569037944819839","","","in","","0","1","0","https://x.com/DeathtoKoruptor/status/1774569037944819839","132422126","DeathtoKoruptor"
